appid,type,genre,metacritic,recommendations
2577170,demo,,,
2577180,game,Action,110,
2577200,music,,,
2577210,game,,,
2577250,game,Adventure,,
2577260,game,Action,,
2577270,game,Casual,,
2577280,demo,,,
2577320,game,Casual,,
2577330,game,Adventure,,
2577370,demo,,,
2576410,game,Action,,
2576430,game,Casual,,
2576440,game,Casual,,
2576450,demo,,,
2576460,game,Action,,
2576470,game,Action,,
2576480,game,Adventure,,
2576500,demo,,,
2576510,game,Casual,,
2576540,dlc,Action,,
2576550,game,Action,,
2576560,game,Adventure,,
2576570,demo,,,
2576580,game,Casual,,
2576590,demo,,,
2576600,game,Casual,,
2576620,dlc,Adventure,,
2576640,game,Action,,
2576650,demo,,,
2576680,game,Adventure,,
2576690,music,,,
2576700,game,Adventure,,
2576710,game,Action,,
2576720,dlc,Indie,,
2576730,,,,
2576740,,,,
2576750,,,,
2576760,,,,
2576770,dlc,Action,,
2576780,dlc,Action,400,
2576790,dlc,Action,,
2576800,dlc,Action,170,
2576810,dlc,Action,,
2576830,demo,,,
2576840,demo,,,
2576850,dlc,Action,,
2576860,dlc,Action,,
2576880,game,Casual,,
2576890,dlc,Indie,,
2576900,,,,
2575910,demo,,,
2575920,demo,,,
2575940,game,Action,,
2575960,game,Racing,,
2575970,game,Action,,
2575980,demo,,,
2575990,demo,,,
2576000,game,Adventure,,
2576020,game,Animation & Modeling,,
2576040,game,Adventure,,
2576050,,,,
2576110,,,,
2576120,demo,,,
2576130,game,Casual,,
2576140,game,Action,,
2576160,game,RPG,,
2576170,game,Adventure,,
2576190,game,Adventure,,
2576200,game,Indie,,
2576210,,,,
2576220,game,Adventure,,
2576230,game,,,
2576250,game,Action,,
2576270,game,,,
2576300,demo,,,
2576320,game,Action,,
2576350,game,Adventure,,
2576360,dlc,Casual,,
2576380,music,,,
2576390,demo,,,
2576400,demo,,,
2575410,demo,,,
2575440,game,Adventure,,
2575450,game,Design & Illustration,,
2575460,dlc,Action,,
2575490,demo,,,
2575510,game,Action,,
2575520,demo,,,
2575530,game,Action,,
2575550,game,Action,,
2575580,demo,,,
2575610,demo,,,
2575650,demo,,,
2575670,demo,,,
2575680,,,,
2575690,game,,,
2575700,dlc,Indie,,
2575710,music,Indie,,
2575730,,,,
2575750,game,Adventure,,
2575770,demo,,,
2575780,game,RPG,,
2575790,game,Casual,,
2575800,game,Adventure,,
2575840,game,Casual,,
2575850,game,Action,,
2575860,game,Action,,
2575870,game,Casual,,
2574890,dlc,Adventure,,
2574920,dlc,Action,,81
2574940,dlc,Action,,
2574950,music,,,
2574980,game,,,
2575000,,,,
2575040,game,Adventure,,
2575060,game,Action,,
2575100,game,Adventure,,
2575110,game,Action,,
2575120,game,Adventure,,
2575140,game,Action,,
2575150,game,Action,,
2575180,,,,
2575220,game,Adventure,,
2575230,game,Adventure,,
2575260,demo,,,
2575280,dlc,Casual,,
2575290,game,Indie,,
2575300,demo,,,
2575310,music,,,
2575320,demo,,,
2575350,game,Indie,,
2575370,game,Adventure,,
2574400,,,,
2574410,demo,,,
2574420,game,Adventure,,
2574430,game,Action,,
2574460,game,Action,,
2574470,game,Action,,
2574480,,,,
2574490,demo,,,
2574520,game,Adventure,,
2574550,game,Action,,
2574560,,,,
2574570,demo,,,
2574580,dlc,Action,,
2574590,game,Adventure,,
2574610,demo,,,
2574620,demo,,,
2574640,game,Action,,
2574650,game,Action,,
2574660,game,Action,,
2574670,demo,,,
2574690,game,Action,,
2574700,music,,,
2574720,game,,,
2574740,game,,,
2574750,demo,,,
2574760,game,Action,,
2574770,dlc,Casual,,
2574790,,,,
2574820,game,Casual,,
2574830,game,RPG,,
2574840,game,Action,,
2574850,game,Adventure,,
2574860,dlc,Action,,
2574870,game,Adventure,,
2574880,demo,,,
2573900,,,,
2573910,game,Action,,
2573920,,,,
2573930,game,Adventure,,
2573940,game,Action,,
2573950,game,Casual,,
2573960,game,Simulation,,
2573970,dlc,Action,,
2573980,game,RPG,,
2573990,game,Action,,
2574000,game,Casual,,
2574010,game,Adventure,,
2574020,game,Action,,
2574030,game,Action,,
2574040,game,Strategy,,
2574050,demo,,,
2574060,,,,
2574070,,,,
2574100,dlc,Action,,
2574110,dlc,Action,,
2574120,game,Indie,,
2574130,dlc,Adventure,,
2574140,dlc,Adventure,,
2574150,,,,
2574160,dlc,RPG,,
2574170,dlc,RPG,,
2574180,dlc,RPG,,
2574190,game,Indie,,
2574200,dlc,RPG,,
2574210,dlc,RPG,,
2574220,dlc,RPG,,
2574230,dlc,RPG,,
2574240,dlc,Web Publishing,,
2574250,dlc,Web Publishing,,
2574260,game,Casual,,
2574270,game,Action,,
2574280,,,,
2574320,,,,
2574330,music,,,
2574340,game,Adventure,,
2574350,game,Action,,
2574360,game,Action,,
2574370,game,Action,,
2573400,,,,
2573410,game,,,
2573420,game,Adventure,,
2573430,game,Utilities,,
2573440,game,Action,,
2573460,demo,,,
2573470,game,Action,,
2573480,,,,
2573490,game,Action,,
2573520,dlc,Utilities,,
2573530,game,Adventure,,
2573540,game,Action,,
2573550,,,,
2573560,demo,,,
2573590,game,Action,,
2573610,game,Action,,
2573620,game,Action,,
2573640,game,Action,,
2573670,game,Adventure,,
2573680,music,,,
2573690,dlc,Racing,,
2573700,dlc,Racing,,
2573710,dlc,Racing,,
2573720,dlc,Racing,,
2573730,dlc,Racing,,
2573740,dlc,Racing,,
2573750,,,,
